Signatures,Genes
TAM_Peng_et_al,F13A1/FCER1A/CCL17/FOXQ1/ESPNL/CD1A/GATM/CCL13/PALLD/GALNT18/MAOA/RAMP1/STAB1/CCL26/CCL23/PARM1/CD1E/ITM2C/CALCRL/CRH/RGS18/MS4A6A/DHRS2/PON2/ALOX15/RAB33A/MOCOS/CCL18/IL17RB/FABP4/CMTM8/QPRT/CDR2L/DUOXA1/ABCC4/SYT17/PPP1R14A/PDGFC/GPT/FAM189A2/RASAL1/IPCEF1/ZNF366/MAP4K1/RAB30/PCED1B/TMIGD3/SH3BP4/RRS1/RNASE1
CAF_Peng_et_al,COL3A1/COL1A2/COL1A1/CTSK/THBS2/COL6A3/C1S/COL5A1/C3/SFRP2/COL6A1/C1R/VCAN/MXRA5/MMP3/ISLR/DCN/COL5A2/CRISPLD2/CDR1/CXCL14/COL12A1/ADAMDEC1/AEBP1/LUM/MMP1/SERPINF1/TIMP2/IGFBP5/SPARC/CHI3L1/PLAT/SULF1/GREM1/BGN/DKK3/COL8A1/TIMP1/RARRES2/C11orf96/FBN1/TMEM158/THY1/PCOLCE/CYR61/EFEMP1/CTHRC1/ACTA2-AS1/FBLN1/CXCL1
T_cell_probe_Jeschke_et_al,RASSF1/SHANK2/FAM113B/VSX1/DRD4/CD6/OSM/BIN2/SEMA3B/VAV1/MT3/HEM1/LCK/EDG6/KLHL6/ADA/PTPRCAP/Cl6orf54/INA/LAT/SH2D3C/CD3D/PPP1R16B/ALDH1A3
MeTIL_Jeschke_et_al,PTPRCAP/KLHL6/INA/SEMA3B/RASSF1
Cardiolipin_Metabolism,CKMT1A/CKMT1B/CYCS/NME4/TAZ/TMEM256-PLSCR3
Cardiolipin_Biosynthesis,CRLS1/PGS1/PTPMT1/TAMM41
Cholesterol_Biosynthesis,ACAT2/CYP51A1/DHCR24/DHCR7/EBP/FDFT1/FDPS/GGPS1/HMGCR/HMGCS1/HSD17B7/IDI1/LBR/LIPA/LSS/MSMO1/MVD/MVK/NSDHL/PMVK/SC5D/SOAT1/SQLE/TM7SF2
Citric_Acid_Cycle,ACLY/ACO1/ACO2/CS/DLAT/DLD/DLST/FH/IDH1/IDH2/IDH3A/IDH3B/IDH3G/MDH1/MDH2/MPC1/OGDH/OGDHL/PC/PCK1/PCK2/PDHA1/PDHA2/PDHB/SDHA/SDHB/SDHC/SDHD/SUCLA2/SUCLG1/SUCLG2/PDHX
Cyclooxygenase_Arachidonic_Acid_Metabolism,ANXA1/MKNK1/PLA2G4A/PTGS1/PTGS2/VIM
Prostaglandin_Biosynthesis,AKR1A1/AKR1B1/AKR1C3/CBR1/FAM213B/HPGDS/PTGDS/PTGES/PTGES2/PTGES3
Purine_Biosynthesis,ADSL/ADSS/ADSSL1/AK1/AK2/AK3/AK4/AK5/ATIC/GART/GMPS/IMPDH1/IMPDH2/PAICS/PFAS/PPAT/PRPS1/PRPS1L1/PRPS2/TAF9
Pyrimidine_Biosynthesis,CAD/CMPK1/CMPK2/CTPS1/CTPS2/DHODH/NME1/NME2/NME3/NME4/NME6/UMPS
Dopamine_Biosynthesis,DDC/QDPR/SLC18A2/TH
Epinephrine_Biosynthesis,DBH/DDC/PNMT/QDPR/SLC18A2/TH
Norepinephrine_Biosynthesis,DBH/DDC/QDPR/SLC18A2/TH
Fatty_Acid_Degradation,ABCD1/ABCD2/ACAA2/ACAD9/ACADL/ACADM/ACADS/ACADVL/ACAT1/ACSL1/ACSL3/ACSL4/ACSL5/ACSL6/ACSM1/ACSM2A/ACSM2B/ACSM3/ACSM4/ACSS1/ACSS2/ACSS3/CPT1A/CPT1B/CPT2/CRAT/CROT/ECHS1/ETFA/ETFB/ETFDH/HADH/HADHA/HADHB/HSD17B10/PEX11G/PEX13/PEX14/SLC25A20/ACAT2/ACAA1/EHHADH/ACOX3/ACOX1/ACADSB/GCDH/ACSBG1/ACSBG2/CPT1C/ECI1/ECI2/CYP4A11/CYP4A22/ADH1A/ADH1B/ADH1C/ADH7/ADH4/ADH5/ADH6/ALDH2/ALDH3A2/ALDH1B1/ALDH7A1/ALDH9A1
Fatty_Acid_Elongation,ACACA/ACACB/ACLY/FASN/MCAT/OLAH/OXSM/ACAA2/ECHS1/HADHA/HADHB/HSD17B10/MECR/PPT1/HADH/PPT2/ELOVL1/ELOVL2/ELOVL3/ELOVL4/ELOVL5/ELOVL6/ELOVL7/HSD17B12/HACD2/HACD1/HACD4/HACD3/TECR/ACOT4/ACOT2/ACOT1/ACOT7
Fatty_Acid_Biosynthesis,ACACA/ACACB/MCAT/FASN/OXSM/OLAH/ACSL6/ACSL4/ACSL1/ACSL5/ACSL3/ACSBG1/ACSBG2
Folate_One_Carbon_Metabolism,ALDH1L1/AMT/DHFR/DLD/DMGDH/FOLH1/FOLR1/FOLR2/FPGS/GCSH/GGH/GLDC/MTHFD1/MTHFD1L/MTHFD2/MTHFD2L/MTHFR/MTR/MTRR/SARDH/SHMT1/SHMT2/SLC19A1/SLC25A32/SLC46A1/ALDH1L2/ATIC/FTCD/GART/MTFMT/MTHFS/TYMS/DHFR2
Folate_biosynthesis,GCH1/ALPL/ALPI/ALPP/ALPPL2/DHFR/DHFR2/FPGS/GGH/PTS/SPR/QDPR/MOCS1/MOCS2
Gluconeogenesis,ACSS1/ACSS2/ADH1A/ADH1B/ADH1C/ADH4/ADH5/ADH6/ADH7/ADPGK/AKR1A1/ALDH1A3/ALDH1B1/ALDH2/ALDH3A1/ALDH3A2/ALDH3B1/ALDH3B2/ALDH7A1/ALDH9A1/ALDOA/ALDOB/ALDOC/BPGM/DLAT/DLD/ENO1/ENO2/ENO3/FBP1/FBP2/G6PC/G6PC2/G6PC3/GALM/GAPDH/GAPDHS/GCK/GOT1/GOT2/GPI/HK1/HK2/HK3/HKDC1/LDHA/LDHAL6A/LDHAL6B/LDHB/LDHC/MDH2/MPC1/PANK1/PC/PCK1/PCK2/PDHA1/PDHA2/PDHB/PFKFB1/PFKL/PFKM/PFKP/PGAM1/PGAM2/PGAM4/PGK1/PGK2/PGM1/PGM2/PKLR/SLC25A11/SLC2A2/SLC37A4/TPI1
Glycolysis,ACSS1/ACSS2/ADH1A/ADH1B/ADH1C/ADH4/ADH5/ADH6/ADH7/ADPGK/AKR1A1/ALDH1A3/ALDH1B1/ALDH2/ALDH3A1/ALDH3A2/ALDH3B1/ALDH3B2/ALDH7A1/ALDH9A1/ALDOA/ALDOB/ALDOC/BPGM/DLAT/DLD/ENO1/ENO2/ENO3/FBP1/FBP2/G6PC/G6PC2/GALM/GAPDH/GAPDHS/GCK/GPI/HK1/HK2/HK3/HKDC1/LDHA/LDHAL6A/LDHAL6B/LDHB/LDHC/PANK1/PCK1/PCK2/PDHA1/PDHA2/PDHB/PFKFB1/PFKFB2/PFKFB3/PFKFB4/PFKL/PFKM/PFKP/PGAM1/PGAM2/PGAM4/PGK1/PGK2/PGM1/PGM2/PKLR/PKM/SLC2A2/TPI1
Glycogen_Biosynthesis,GBE1/GCK/GSK3A/GSK3B/GYG1/GYS1/GYS2/PGM1/PGM2/PGM3/PPP1CA/PPP1CB/PPP1CC/PPP1R3A/PPP1R3B/PPP1R3C/PPP1R3D/PPP1R3E
Glycogen_Degradation,AGL/CALM1/CALM2/CALM3/G6PC/PGM1/PGM2/PGM3/PHKA1/PHKA2/PHKB/PHKG1/PHKG2/PPP1CA/PPP1CB/PPP1CC/PPP1R3A/PPP1R3B/PPP1R3C/PPP1R3D/PPP1R3E/PYGB/PYGL/PYGM
Heme_Biosynthesis,ALAD/ALAS1/ALAS2/CPOX/FECH/HMBS/PPOX/UROD/UROS
Hexosamine_Biosynthesis,GFPT1/GNPNAT1/GPI/MGEA5/OGT/PGM3/UAP1
Homocysteine_Biosynthesis,AHCY/CARM1/COMT/DOT1L/GAMT/HNMT/MRM2/MTHFR/NNMT/PCMT1/PEMT/PNMT/PRMT1/PRMT5/PRMT6/RNMT/SETDB1/SUV39H2
Remethylation,MTHFR/MTR/MTRR/AHCY/ALDH7A1/BHMT/CHDH/MAT2A/MAT2B/PEMT
Transsulfuration,CBS/CDO1/CSAD/CTH
Ketone_Biosynthesis_and_Metabolism,AACS/ACAT1/ACAT2/BDH1/BDH2/HMGCL/HMGCS1/HMGCS2/OXCT1/OXCT2
Kynurenine_Metabolism,AADAT/ACMSD/AFMID/GOT2/HAAO/IDO1/IDO2/KMO/KYAT1/KYAT3/KYNU/TDO2
Methionine_Cycle,AHCY/AMD1/BHMT/CARM1/CBS/CHDH/COMT/CTH/DNMT1/DNMT3A/DNMT3B/DOT1L/EZH2/GAMT/GNMT/HNMT/IL4I1/KMT5A/MARS/MAT1A/MAT2A/MAT2B/MRM2/MSRB2/MSRB3/MTAP/MTFMT/MTHFR/MTR/MTRR/NNMT/PCMT1/PEMT/PNMT/PRMT1/PRMT2/PRMT3/PRMT5/PRMT6/PRMT7/RNMT/SETD7/SETDB1/SHMT1/SMS/SMYD2/SRM/SUV39H1/SUV39H2
Pentose_Phosphate,ALDOA/ALDOB/ALDOC/DERA/FBP1/FBP2/G6PD/GPI/H6PD/PFKL/PFKM/PFKP/PGD/PGLS/PGM1/PGM2/PRPS1/PRPS1L1/PRPS2/RBKS/RGN/RPE/RPIA/TALDO1/TKT/TKTL1/TKTL2/GLYCTK/IDNK/RPEL1
Nicotinamide_Adenine_Metabolism,GAPDH/GOT1/GOT2/GPD1/GPD2/MDH1/MDH2/NADK/NADK2/NNT/SLC1A3/SLC22A13/SLC25A11/SLC25A12/SLC25A13/SLC36A4/SLC5A8/SLC7A5
ADP_Ribosylation,BST1/CD38/APLF/CHFR/MACROD1/MACROD2/OARD1/PARG/PARP1/PARP10/PARP11/PARP12/PARP14/PARP15/PARP16/PARP2/PARP3/PARP4/PARP6/PARP8/PARP9/RNF146/TIPARP/TNKS/TNKS2/ZC3HAV1
Nicotinamide_Adenine_Dinucleotide_Biosynthesis,NADSYN1/NMNAT1/NMNAT2/NMNAT3/QPRT/NAMPT/NAPRT/NMRK1/NMRK2
Nicotinate_and_Nicotinamide_Metabolism,QPRT/NAPRT/PNP/NMRK1/NMRK2/NT5C2/NT5C1A/NT5C1B/NT5C/NT5M/NT5C3A/NT5C3B/NT5C1B-RDH14/NT5E/NMNAT3/NMNAT1/NMNAT2/ENPP1/ENPP3/NUDT12/NADSYN1/NAMPT/CD38/BST1/NADK/NADK2/NNT/NNMT/AOX1
Sirtuin_Nicotinamide_Metabolism,SIRT1/SIRT2/SIRT3/SIRT4/SIRT5/SIRT6/SIRT7
Polyamine_Biosynthesis,AMD1/AZIN1/OAZ1/OAZ2/OAZ3/ODC1/PAOX/SAT1/SMOX/SMS/SRM/MAT2A/MAT2B
Prostanoid_Biosynthesis,PTGS1/PTGS2/PTGIS
Thromboxane_Biosynthesis,TBXAS1
Pyruvate_Metabolism,ACACA/ACACB/ACAT1/ACAT2/ACOT12/ACSS1/ACSS2/ACYP1/ACYP2/AKR1B1/ALDH1B1/ALDH2/ALDH3A2/ALDH7A1/ALDH9A1/DLAT/DLD/GLO1/GRHPR/HAGH/HAGHL/LDHA/LDHAL6A/LDHAL6B/LDHB/LDHC/LDHD/MDH1/MDH2/ME1/ME2/ME3/PC/PCK1/PCK2/PDHA1/PDHA2/PDHB/PDHX/PDK1/PDK2/PDK3/PDK4/PDP1/PDP2/PKLR/PKM/FH
Retinoic_Acid_Metabolism,ALDH1A1/ALDH1A2/ALDH1A3/CES1/CRABP1/CRABP2/CYP26A1/CYP26B1/CYP26C1/DHRS9/FABP5/LRAT/RBP1/RBP4/RDH10/RDH16/STRA6/TTR
Retinoid_Metabolism,ABCA4/LRAT/OPN1LW/OPN1MW/OPN1SW/RBP1/RBP3/RDH10/RDH11/RDH12/RDH5/RDH8/RHO/RLBP1/RPE65
Retinol_Metabolism,ABCA1/ADH1A/ADH1B/ADH1C/ADH4/ADH5/ADH6/ADH7/AKR1B10/ALDH1A1/ALDH1A2/AWAT1/AWAT2/BCO1/CD36/CYP1A1/CYP1A2/CYP26A1/CYP26B1/CYP26C1/CYP2A13/CYP2A6/CYP2A7/CYP2B6/CYP2C18/CYP2C19/CYP2C8/CYP2C9/CYP3A4/CYP3A43/CYP3A5/CYP3A7/CYP4A11/CYP4A22/DGAT1/DHRS3/DHRS4/DHRS4L2/DHRS9/DNAJB11/ERP29/HSP90B1/HSPA5/HYOU1/LRAT/PDIA2/PDIA4/PDIA6/PLB1/PNLIP/PNLIPRP2/PNPLA4/PPIB/RBP2/RDH10/RDH11/RDH12/RDH16/RDH5/RDH8/RETSAT/RPE65/SCARB1/SDF2L1/UGT1A1/UGT1A10/UGT1A3/UGT1A4/UGT1A5/UGT1A6/UGT1A7/UGT1A8/UGT1A9/UGT2A1/UGT2A2/UGT2A3/UGT2B10/UGT2B11/UGT2B15/UGT2B17/UGT2B28/UGT2B4/UGT2B7/AOX1/CYP2S1/CYP3A51P/DHRS4L1/HSD17B6/SDR16C5
Steroid_Hormone_Metabolism,AKR1C1/AKR1C2/AKR1C3/AKR1C4/AKR1D1/COMT/CYP11A1/CYP11B1/CYP11B2/CYP17A1/CYP19A1/CYP1A1/CYP1B1/CYP21A2/CYP3A4/CYP3A43/CYP3A5/CYP3A7/CYP7A1/CYP7B1/FDX1/FDXR/HSD11B1/HSD11B2/HSD17B1/HSD17B12/HSD17B2/HSD17B3/HSD17B6/HSD17B7/HSD17B8/HSD3B1/HSD3B2/POR/SRD5A1/SRD5A2/SRD5A3/STAR/STS/SULT1E1/SULT2B1/UGT1A1/UGT1A10/UGT1A3/UGT1A4/UGT1A5/UGT1A6/UGT1A7/UGT1A8/UGT1A9/UGT2A1/UGT2A2/UGT2A3/UGT2B10/UGT2B11/UGT2B15/UGT2B17/UGT2B28/UGT2B4/UGT2B7
Aldosterone_Biosynthesis,CYP11A1/CYP11B1/CYP11B2/CYP21A2/FDX1/FDXR/POR/STAR
Cortisol_Biosynthesis,CYP11B2/CYP11A1/CYP11B1/CYP17A1/CYP21A2/FDX1/FDXR/HSD3B1/HSD3B2/POR/STAR
Estradiol_Biosynthesis,CYP11A1/CYP17A1/CYP19A1/FDX1/FDXR/HSD17B1/HSD17B2/HSD17B3/HSD3B1/HSD3B2/POR/STAR/STS/SULT1E1/SULT2A1
Testosterone_Biosynthesis,CYP11A1/CYP17A1/FDX1/FDXR/HSD17B2/HSD17B3/HSD3B1/HSD3B2/POR/SRD5A1/SRD5A2/STAR/STS/SULT2A1
Urea_Cycle,ARG1/ARG2/ASL/ASS1/CPS1/GLS2/GLUD1/GOT2/GPT/OTC/SLC1A4/SLC1A5/SLC25A12/SLC25A15
Vitamin_K,GGCX/VKORC1
Pentose_and_Glucuronate_Interconversions,KL/GUSB/UGT2A1/UGT2A3/UGT2B17/UGT2B11/UGT2B28/UGT1A6/UGT1A4/UGT1A1/UGT1A3/UGT2B10/UGT1A9/UGT2B7/UGT1A10/UGT1A8/UGT1A5/UGT2B15/UGT1A7/UGT2B4/UGT2A2/UGDH/UGP2/AKR1A1/CRYL1/RPE/RPEL1/XYLB/AKR1B1/AKR1B10/DCXR/SORD/DHDH/ALDH2/ALDH3A2/ALDH1B1
Fructose_and_Mannose_Metabolism,MPI/PMM2/PMM1/GMPPB/GMPPA/GMDS/TSTA3/FPGT/FUK/ENOSF1/HK3/HK1/HK2/HKDC1/PFKM/PFKP/PFKL/FBP1/FBP2/PFKFB1/PFKFB2/PFKFB3/PFKFB4/TIGAR/KHK/SORD/AKR1B1/AKR1B10/ALDOC/ALDOA/ALDOB/TPI1/TKFC
Galactose_Metabolism,GALM/GALK1/GALT/GALE/UGP2/PGM1/PGM2/HK3/HK1/HK2/HKDC1/GCK/G6PC/G6PC2/G6PC3/GLB1/LCT/LALBA/B4GALT1/B4GALT2/GLA/AKR1B1/AKR1B10/PFKM/PFKP/PFKL/MGAM/MGAM2/GAA/GANC/SI
Ascorbate_and_Aldrate_Metabolism,UGDH/UGT2A1/UGT2A3/UGT2B17/UGT2B11/UGT2B28/UGT1A6/UGT1A4/UGT1A1/UGT1A3/UGT2B10/UGT1A9/UGT2B7/UGT1A10/UGT1A8/UGT1A5/UGT2B15/UGT1A7/UGT2B4/UGT2A2/MIOX/RGN/ALDH2/ALDH3A2/ALDH1B1/ALDH7A1/ALDH9A1
Starch_and_Suctose_Metabolism,MGAM/MGAM2/GAA/GANC/SI/UGP2/ENPP1/ENPP3/GBA3/GYS2/GYS1/GYG1/GYG2/GBE1/PYGL/PYGM/PYGB/AGL/AMY1C/AMY2A/AMY1A/AMY2B/AMY1B/TREH/PGM1/PGM2/HK3/HK1/HK2/HKDC1/GCK/G6PC/G6PC2/G6PC3/PGM2L1/GPI
Amino_Sugar_and_Nucleotide_Sugar_Metabolism,CHIA/CHIT1/HEXA/HEXB/NAGK/PGM3/UAP1/UAP1L1/GNE/RENBP/NANS/NANP/NPL/CMAS/CYB5R1/CYB5R3/CYB5R2/CYB5RL/CYB5R4/HK3/HK1/HK2/HKDC1/AMDHD2/GNPNAT1/GNPDA1/GNPDA2/GFPT2/GFPT1/UXS1/GCK/GPI/PGM1/PGM2/UGP2/UGDH/GALK1/GALT/GALE/PMM2/PMM1/GMPPB/GMPPA/GMDS/MPI/FUK/FPGT/TSTA3
Glyoxylate_and_Dicarboxylate_Metabolism,MDH1/MDH2/CS/ACO2/ACO1/ACAT2/ACAT1/MCEE/PCCA/PCCB/MUT/HAO2/HAO1/CAT/GRHPR/PGP/AGXT/GLUL/SHMT2/SHMT1/GLDC/AMT/DLD/GCSH/HYI/GLYCTK/HOGA1/AFMID
Propanoate_Metabolism,ACSS1/ACSS2/ACSS3/BCKDHA/BCKDHB/DBT/DLD/ACADM/HADHA/EHHADH/ECHS1/HIBCH/ACACA/ACACB/MLYCD/ABAT/PCCA/PCCB/ECHDC1/MCEE/MUT/SUCLG1/SUCLG2/SUCLA2/ALDH6A1/LDHAL6A/LDHAL6B/LDHA/LDHB/LDHC/ACAT2/ACAT1
Butanoate_Metabolism,ACAT2/ACAT1/HADH/HADHA/EHHADH/ECHS1/ACADS/ACSM1/ACSM2A/ACSM4/ACSM5/ACSM3/ACSM2B/ACSM6/L2HGDH/GAD1/GAD2/ABAT/ALDH5A1/HMGCS1/HMGCS2/HMGCL/HMGCLL1/OXCT1/OXCT2/AACS/BDH1/BDH2
Inositol_Phosphate_Metabolism,PIK3C3/MTM1/MTMR1/MTMR2/MTMR3/MTMR4/MTMR8/MTMR6/MTMR7/MTMR14/PI4KA/PI4KB/PI4K2A/PI4K2B/PIP5K1C/PIP5K1A/PIP5K1B/PIP5KL1/OCRL/INPP5B/INPP5E/SYNJ1/SYNJ2/PIK3CA/PIK3CD/PIK3CB/PIK3CG/PTEN/INPP5D/INPPL1/PIK3C2G/PIK3C2A/PIK3C2B/INPP4A/INPP4B/PIKFYVE/PIP4K2C/PIP4K2A/PIP4K2B/PLCB1/PLCB2/PLCB3/PLCB4/PLCD1/PLCD3/PLCD4/PLCE1/PLCG1/PLCG2/PLCZ1/PLCH1/PLCH2/IMPA2/IMPA1/IMPAD1/CDIPT/ISYNA1/INPP1/INPP5K/INPP5J/INPP5A/MINPP1/ITPKB/ITPKA/ITPKC/ITPK1/IPMK/IPPK/MIOX/ALDH6A1/TPI1
Oxidative_Phosphorylation,ND1/ND2/ND3/ND4/ND4L/ND5/ND6/NDUFS1/NDUFS2/NDUFS3/NDUFS4/NDUFS5/NDUFS6/NDUFS7/NDUFS8/NDUFV1/NDUFV2/NDUFV3/NDUFA1/NDUFA2/NDUFA3/NDUFA4/NDUFA4L2/NDUFA5/NDUFA6/NDUFA7/NDUFA8/NDUFA9/NDUFA10/NDUFAB1/NDUFA11/NDUFA12/NDUFA13/NDUFB1/NDUFB2/NDUFB3/NDUFB4/NDUFB5/NDUFB6/NDUFB7/NDUFB8/NDUFB9/NDUFB10/NDUFB11/NDUFC1/NDUFC2/NDUFC2-KCTD14/SDHA/SDHB/SDHC/SDHD/UQCRFS1/CYTB/CYC1/UQCRC1/UQCRC2/UQCRH/UQCRHL/UQCRB/UQCRQ/UQCR10/UQCR11/COX10/COX3/COX1/COX2/COX4I2/COX4I1/COX5A/COX5B/COX6A1/COX6A2/COX6B1/COX6B2/COX6C/COX7A1/COX7A2/COX7A2L/COX7B/COX7B2/COX7C/COX8C/COX8A/COX11/COX15/COX17/ATP5A1/ATP5B/ATP5C1/ATP5D/ATP5E/ATP5O/ATP6/ATP5F1/ATP5G1/ATP5G2/ATP5G3/ATP5H/ATP5I/ATP5J2/ATP5L/ATP5J/ATP8/ATP6V1A/ATP6V1B1/ATP6V1B2/ATP6V1C2/ATP6V1C1/ATP6V1D/ATP6V1E2/ATP6V1E1/ATP6V1F/ATP6V1G1/ATP6V1G3/ATP6V1G2/ATP6V1H/TCIRG1/ATP6V0A2/ATP6V0A4/ATP6V0A1/ATP6V0C/ATP6V0B/ATP6V0D1/ATP6V0D2/ATP6V0E1/ATP6V0E2/ATP6AP1/ATP4A/ATP4B/ATP12A/PPA2/PPA1/LHPP
Nitrogen_Metabolism,GLUD1/GLUD2/GLUL/CPS1/CA13/CA1/CA6/CA7/CA12/CA5B/CA14/CA9/CA3/CA5A/CA8/CA2/CA4
Sulfur_Metabolism,PAPSS1/PAPSS2/BPNT1/IMPAD1/SUOX/CYCS/ETHE1/MPST/TST/SQRDL
Steroid_Biosynthesis,FDFT1/SQLE/LSS/CYP51A1/TM7SF2/MSMO1/FAXDC2/NSDHL/HSD17B7/EBP/DHCR24/SC5D/DHCR7/LIPA/CEL/SOAT2/SOAT1/CYP2R1/CYP27B1/CYP24A1
Primary_Bile_Acid_Biosynthesis,CYP39A1/CYP46A/HSD3B7/CH25H/CYP7B1/CYP7A1/CYP27A1/CYP8B1/AKR1D1/AKR1C4/SLC27A5/AMACR/ACOX2/HSD17B4/SCP2/ACOT8/BAAT
Steroid_Hormone_Biosynthesis,CYP17A1/CYP11A/STS/SULT2B1/CYP21A2/HSD3B1/HSD3B2/SRD5A1/SRD5A2/SRD5A3/AKR1C2/AKR1C3/CYP11B1/CYP11B2/AKR1D1/AKR1C4/HSD11B1/HSD11B2/AKR1C1/CYP7B1/SULT1E1/HSD17B1/HSD17B2/HSD17B6/HSD17B7/HSD17B8/HSD17B12/CYP1A1/CYP1A2/CYP3A5/CYP3A7/CYP3A7-CYP3A51P/CYP2E1/CYP3A4/CYP1B1/CYP19A1/CYP7A1/UGT2A1/UGT2A3/UGT2B17/UGT2B11/UGT2B28/UGT1A6/UGT1A4/UGT1A1/UGT1A3/UGT2B10/UGT1A9/UGT2B7/UGT1A10/UGT1A8/UGT1A5/UGT2B15/UGT1A7/UGT2B4/UGT2A2/COMT/HSD17B3
Glycerolipid_Metabolism,GLYCTK/ALDH2/ALDH3A2/ALDH1B1/ALDH7A1/ALDH9A1/AKR1B1/AKR1B10/AKR1A1/TKFC/GK2/GK/GPAM/GPAT2/GPAT4/GPAT3/AGPAT1/AGPAT2/AGPAT5/LCLAT1/MBOAT1/MBOAT2/AGPAT3/AGPAT4/PLPP1/PLPP3/PLPP2/LPIN1/LPIN3/LPIN2/DGKZ/DGKD/DGKI/DGKA/DGKE/DGKB/DGKH/DGKG/DGKQ/DGKK/DGAT1/DGAT2/MOGAT3/LIPG/LIPC/CEL/PNPLA2/PNPLA3/PNLIP/PNLIPRP1/PNLIPRP2/PNLIPRP3/LIPF/LPL/AGK/MGLL/MOGAT1/MOGAT2/GLA
Glycerophospholipid_Metabolism,GPD1L/GPD1/GPD2/GPAM/GPAT2/GPAT4/GPAT3/AGPAT1/AGPAT2/AGPAT5/LCLAT1/MBOAT1/MBOAT2/AGPAT3/AGPAT4/GNPAT/ADPRM/PLPP1/PLPP3/PLPP2/LPIN1/LPIN3/LPIN2/DGKZ/DGKD/DGKI/DGKA/DGKE/DGKB/DGKH/DGKG/DGKQ/DGKK/CHPT1/CEPT1/PLD1/PLD2/PLD3/PLD4/LCAT/PLA2G10/PLA2G2D/PLA2G2E/PLA2G3/PLA2G2F/PLA2G12A/PLA2G12B/PLA2G1B/PLA2G5/PLA2G2A/PLA2G2C/PLA2G4E/PLA2G4A/JMJD7-PLA2G4B/PLA2G4B/PLA2G4C/PLA2G4D/PLA2G4F/PLA2G6/PLB1/PLA2G16/LPCAT2/LPCAT1/LPCAT4/LPCAT3/LYPLA1/PLA2G15/LYPLA2/PNPLA6/PNPLA7/GPCPD1/CHAT/ACHE/CHKA/CHKB/PHOSPHO1/PCYT1B/PCYT1A/EPT1/ETNK1/ETNK2/PCYT2/ETNPPL/PEMT/CDS1/CDS2/PTDSS1/PTDSS2/PISD/PGS1/CRLS1/TAZ/LPGAT1/CDIPT/MBOAT7
Ether_Lipid_Metabolism,PLPP1/AGPS/PLPP3/PLPP2/EPT1/CHPT1/CEPT1/PLA2G10/PLA2G2D/PLA2G2E/PLA2G3/PLA2G2F/PLA2G12A/PLA2G12B/PLA2G1B/PLA2G5/PLA2G2A/PLA2G2C/PLA2G4E/PLA2G4A/JMJD7-PLA2G4B/PLA2G4B/PLA2G4C/PLA2G4D/PLA2G4F/PLA2G6/PLB1/PLA2G16/LPCAT4/ENPP6/ENPP2/TMEM86B/PLD1/PLD2/PLD3/PLD4/UGT8/GAL3ST1/LPCAT2/LPCAT1/PAFAH1B1/PAFAH1B2/PAFAH1B3/PLA2G7/PAFAH2
Shingolipid_Metabolism,SPTLC1/SPTLC2/SPTLC3/KDSR/CERS2/CERS3/CERS6/CERS1/CERS4/CERS5/ASAH1/ASAH2/ACER2/ACER1/ACER3/DEGS1/DEGS2/SGMS1/SGMS2/SMPD1/SMPD2/SMPD3/SMPD4/ENPP7/CERK/PLPP1/PLPP3/PLPP2/SGPP1/SGPP2/SPHK1/SPHK2/SGPL1/UGCG/GBA/GBA2/B4GALT6/GLB1/UGT8/GALC/GAL3ST1/ARSA/NEU1/NEU3/NEU4/NEU2/GLA
Arachidonic_Acid_Metabolism,PLA2G10/PLA2G2D/PLA2G2E/PLA2G3/PLA2G2F/PLA2G12A/PLA2G12B/PLA2G1B/PLA2G5/PLA2G2A/PLA2G2C/PLA2G4E/PLA2G4A/JMJD7-PLA2G4B/PLA2G4B/PLA2G4C/PLA2G4D/PLA2G4F/PLA2G6/PLB1/PLA2G16/PTGS1/PTGS2/PTGES/PTGES2/PTGES3/CBR1/CBR3/FAM213B/TBXAS1/PTGDS/HPGDS/AKR1C3/PTGIS/ALOX5/LTA4H/CYP4F2/CYP4F3/LTC4S/GGT1/GGT5/GPX6/GPX7/GPX2/GPX3/GPX1/GPX5/GPX8/CYP2E1/CYP2J2/CYP2U1/CYP4A11/CYP2C19/CYP4F8/ALOX12/ALOX12B/ALOX15B/CYP2B6/CYP2C8/CYP2C9/EPHX2/ALOX15
Linoleic_Acid_Metabolism,PLA2G10/PLA2G2D/PLA2G2E/PLA2G3/PLA2G2F/PLA2G12A/PLA2G12B/PLA2G1B/PLA2G5/PLA2G2A/PLA2G2C/PLA2G4E/PLA2G4A/JMJD7-PLA2G4B/PLA2G4B/PLA2G4C/PLA2G4D/PLA2G4F/PLA2G6/PLB1/PLA2G16/ALOX15/CYP1A2/CYP2C8/CYP2C9/CYP2C19/CYP2J2/CYP2E1/CYP3A4
alpha_Linoleic_Acid_Metabolism,PLA2G10/PLA2G2D/PLA2G2E/PLA2G3/PLA2G2F/PLA2G12A/PLA2G12B/PLA2G1B/PLA2G5/PLA2G2A/PLA2G2C/PLA2G4E/PLA2G4A/JMJD7-PLA2G4B/PLA2G4B/PLA2G4C/PLA2G4D/PLA2G4F/PLA2G6/PLB1/PLA2G16/FADS2/ACOX3/ACOX1/ACAA1
